source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0071944,cell periphery,0.01065652834856653,True,"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",6347,10,9,22149,0.9,0.0014179927524814874,query_1,['GO:0110165']
REAC,REAC:R-HSA-5627123,RHO GTPases activate PAKs,0.024114843276843642,True,RHO GTPases activate PAKs,21,8,2,11004,0.25,0.09523809523809523,query_1,['REAC:R-HSA-195258']
GO:CC,GO:0016459,myosin complex,0.03309788579409865,True,"""A protein complex, formed of one or more myosin heavy chains plus associated light chains and other proteins, that functions as a molecular motor; uses the energy of ATP hydrolysis to move actin filaments or to move vesicles or other cargo on fixed actin filaments; has magnesium-ATPase activity and binds actin. Myosin classes are distinguished based on sequence features of the motor, or head, domain, but also have distinct tail regions that are believed to bind specific cargoes."" [GOC:mah, Wikipedia:Myosin]",58,10,2,22149,0.2,0.034482758620689655,query_1,"['GO:0015629', 'GO:0032991']"
GO:CC,GO:0005938,cell cortex,0.039543445154612625,True,"""The region of a cell that lies just beneath the plasma membrane and often, but not always, contains a network of actin filaments and associated proteins."" [GOC:mah, ISBN:0815316194]",328,10,3,22149,0.3,0.009146341463414634,query_1,"['GO:0005737', 'GO:0071944']"
